,arrest_date,arrest_count,arrest_type,predicted_arrest_count
0,2014-01-31,1898,Felony Arrest,2167.1327465707755
1,2014-02-28,1859,Felony Arrest,2016.368644316023
2,2014-03-31,2102,Felony Arrest,2244.679823704677
3,2014-04-30,2202,Felony Arrest,2142.1962692804786
4,2014-05-31,2325,Felony Arrest,2220.848570311616
5,2014-06-30,2231,Felony Arrest,2066.5111749311004
6,2014-07-31,2432,Felony Arrest,2257.363706508199
7,2014-08-31,2365,Felony Arrest,2244.0140965823116
8,2014-09-30,2126,Felony Arrest,2130.5028309355284
9,2014-10-31,2128,Felony Arrest,2058.5329706958496
10,2014-11-30,1949,Felony Arrest,1939.2833528900637
11,2014-12-31,1719,Felony Arrest,1722.3612722831226
12,2015-01-31,2037,Felony Arrest,1841.3875544168077
13,2015-02-28,1666,Felony Arrest,1746.3549226237496
14,2015-03-31,2063,Felony Arrest,2075.126874414905
15,2015-04-30,1758,Felony Arrest,1858.114492776489
16,2015-05-31,1820,Felony Arrest,1900.905458913673
17,2015-06-30,1793,Felony Arrest,1752.4022177393458
18,2015-07-31,2042,Felony Arrest,2013.899338045053
19,2015-08-31,2093,Felony Arrest,1982.7729494388939
20,2015-09-30,2083,Felony Arrest,1841.3470687529993
21,2015-10-31,2098,Felony Arrest,1856.948901058854
22,2015-11-30,1765,Felony Arrest,1634.1926669077056
23,2015-12-31,1371,Felony Arrest,1437.7194067909293
24,2016-01-31,1386,Felony Arrest,1515.980715030041
25,2016-02-29,1480,Felony Arrest,1471.65930520328
26,2016-03-31,1609,Felony Arrest,1492.1568790383517
27,2016-04-30,1599,Felony Arrest,1612.127509210858
28,2016-05-31,1686,Felony Arrest,1766.4148342897226
29,2016-06-30,1524,Felony Arrest,1606.768873121237
30,2016-07-31,1453,Felony Arrest,1656.0736443682583
31,2016-08-31,1435,Felony Arrest,1675.0817784508533
32,2016-09-30,1464,Felony Arrest,1619.360987610015
33,2016-10-31,1273,Felony Arrest,1369.181647604152
34,2016-11-30,1431,Felony Arrest,1453.9130225059941
35,2016-12-31,1198,Felony Arrest,1227.9736835081071
36,2017-01-31,1524,Felony Arrest,1460.3857353758826
37,2017-02-28,1454,Felony Arrest,1282.0914751398368
38,2017-03-31,1439,Felony Arrest,1436.7953194251263
39,2017-04-30,1516,Felony Arrest,1474.9373590452956
40,2017-05-31,1590,Felony Arrest,1619.989629606379
41,2017-06-30,1354,Felony Arrest,1490.2020689061421
42,2017-07-31,1547,Felony Arrest,1639.5220435178185
43,2017-08-31,1587,Felony Arrest,1672.0911388768482
44,2017-09-30,1480,Felony Arrest,1616.1416271204744
45,2017-10-31,1348,Felony Arrest,1485.5015669669056
46,2017-11-30,1313,Felony Arrest,1497.7842372397238
47,2017-12-31,1176,Felony Arrest,1291.3176134165733
48,2018-01-31,1624,Felony Arrest,1482.0120285109974
49,2018-02-28,1416,Felony Arrest,1358.3453023813256
50,2018-03-31,1652,Felony Arrest,1616.6571481934322
51,2018-04-30,1554,Felony Arrest,1543.206496757969
52,2018-05-31,1737,Felony Arrest,1651.8594642103553
53,2018-06-30,1539,Felony Arrest,1526.5549718365323
54,2018-07-31,1839,Felony Arrest,1747.408169853246
55,2018-08-31,1857,Felony Arrest,1764.0592263615688
56,2018-09-30,1735,Felony Arrest,1679.5808637150867
57,2018-10-31,1562,Felony Arrest,1637.6116699186382
58,2018-11-30,1617,Felony Arrest,1547.3949551269911
59,2018-12-31,1578,Felony Arrest,1360.473540968487
60,2019-01-31,1762,Felony Arrest,1509.5004895387679
61,2019-02-28,1676,Felony Arrest,1441.5652338823425
62,2019-03-31,1876,Felony Arrest,1800.3378521075726
63,2019-04-30,1815,Felony Arrest,1612.3583734697445
64,2019-05-31,1836,Felony Arrest,1685.150006054708
65,2019-06-30,1809,Felony Arrest,1565.6796678942667
66,2019-07-31,2052,Felony Arrest,1857.1774546452882
67,2019-08-31,1986,Felony Arrest,1856.0517324850923
68,2019-09-30,1793,Felony Arrest,1743.6736618315958
69,2019-10-31,1703,Felony Arrest,1789.291564503792
70,2019-11-30,1616,Felony Arrest,1595.5831403942657
71,2019-12-31,1633,Felony Arrest,1429.1259506533968
72,2020-01-31,1851,Felony Arrest,1537.4033292795273
73,2020-02-29,1785,Felony Arrest,1521.1614691650007
74,2020-03-31,1191,Felony Arrest,1571.6751133814262
75,2020-04-30,550,Felony Arrest,1720.6935535816024
76,2020-05-31,1312,Felony Arrest,1904.996949022168
77,2020-06-30,1178,Felony Arrest,1774.3968199315061
78,2020-07-31,1283,Felony Arrest,1853.7156176582953
79,2020-08-31,1443,Felony Arrest,1902.680505086512
80,2020-09-30,1300,Felony Arrest,1875.9501207090054
81,2020-10-31,1040,Felony Arrest,1655.6986510705308
